Year (TT),Month (TT),Day (0h TT),MJD (0h TT),X [arcsec],Y [arcsec],s [arcsec]
1980,7,8,44428,-394.59695828033400,-8.61767349992600,-0.00991813063759
1980,7,9,44429,-394.51770986972000,-8.64069862774100,-0.00994192943051
1980,7,10,44430,-394.42403085607300,-8.65209845469500,-0.00995488090811
1980,7,11,44431,-394.32334781727900,-8.64604704002400,-0.00995123120790
1980,7,12,44432,-394.22434867998500,-8.62115283325000,-0.00992946566535
1980,7,13,44433,-394.13473245966600,-8.58026875355600,-0.00989217069538
1980,7,14,44434,-394.05958097295100,-8.52921076687500,-0.00984483239455
1980,7,15,44435,-394.00071252961100,-8.47500382001700,-0.00979416185819
1980,7,16,44436,-393.95693335609500,-8.42428977999000,-0.00974655752589
1980,7,17,44437,-393.92481665756200,-8.38226184933400,-0.00970706167602
1980,7,18,44438,-393.89961680112600,-8.35216605083000,-0.00967886167907
1980,7,19,44439,-393.87607094464000,-8.33521713584800,-0.00966319915632
1980,7,20,44440,-393.84900723482100,-8.33072717249400,-0.00965949470126
1980,7,21,44441,-393.81380305867000,-8.33628701930300,-0.00966552697996
1980,7,22,44442,-393.76680317617900,-8.34794134603700,-0.00967759794081
1980,7,23,44443,-393.70580177844600,-8.36041349755600,-0.00969073146835
1980,7,24,44444,-393.63061943120800,-8.36752161035100,-0.00969904474433
1980,7,25,44445,-393.54367841613800,-8.36296719267400,-0.00969647906418
1980,7,26,44446,-393.45030190396300,-8.34162771201600,-0.00967803050856
1980,7,27,44447,-393.35830105920500,-8.30124540690500,-0.00964138307066
1980,7,28,44448,-393.27646741173200,-8.24397017515600,-0.00958841939916
1980,7,29,44449,-393.21205165270400,-8.17684570965600,-0.00952572668089
1980,7,30,44450,-393.16806997018800,-8.11046883005700,-0.00946335325168
1980,7,31,44451,-393.14177508015800,-8.05590733098000,-0.00941189164625
1980,8,1,44452,-393.12526824043200,-8.02107278810100,-0.00937902105598
1980,8,2,44453,-393.10809279150800,-8.00820676147800,-0.00936708126184
1980,8,3,44454,-393.08059218344600,-8.01350787234400,-0.00937265904062
1980,8,4,44455,-393.03662021121400,-8.02875169775200,-0.00938806516786
1980,8,5,44456,-392.97480147828600,-8.04395220533000,-0.00940382338779
1980,8,6,44457,-392.89830808103900,-8.05002972202900,-0.00941120466889
1980,8,7,44458,-392.81357330797900,-8.04079242092300,-0.00940414720542
1980,8,8,44459,-392.72848248389000,-8.01393252179500,-0.00938026136495
1980,8,9,44460,-392.65053081034700,-7.97103005573400,-0.00934088965730
1980,8,10,44461,-392.58533572253100,-7.91674229292400,-0.00929037210512
1980,8,11,44462,-392.53576255319200,-7.85748207998400,-0.00923479723506
1980,8,12,44463,-392.50174884956000,-7.79996400256600,-0.00918060260352
1980,8,13,44464,-392.48072003029100,-7.74996856805200,-0.00913336967080
1980,8,14,44465,-392.46836049136300,-7.71153052837500,-0.00909702358442
1980,8,15,44466,-392.45948499581900,-7.68658588546300,-0.00907348199292
1980,8,16,44467,-392.44881780482500,-7.67498815075400,-0.00906267082112
1980,8,17,44468,-392.43159240081200,-7.67474145548100,-0.00906275553590
1980,8,18,44469,-392.40399281369400,-7.68230938848600,-0.00907044150561
1980,8,19,44470,-392.36351825005800,-7.69293834466200,-0.00908127456916
1980,8,20,44471,-392.30935213541100,-7.70102752573600,-0.00908997039381
1980,8,21,44472,-392.24276943589700,-7.70065257001200,-0.00909088414946
1980,8,22,44473,-392.16750578515700,-7.68640185052800,-0.00907878904820
1980,8,23,44474,-392.08983214301800,-7.65464626219400,-0.00905009289431
1980,8,24,44475,-392.01791317833000,-7.60512847959700,-0.00900438504402
1980,8,25,44476,-391.96006096831500,-7.54230901147300,-0.00894576405565
1980,8,26,44477,-391.92197039283500,-7.47546032735800,-0.00888296673546
1980,8,27,44478,-391.90394861379000,-7.41660310477400,-0.00882742602463
1980,8,28,44479,-391.89984838397600,-7.37649578268100,-0.00878945915341
1980,8,29,44480,-391.89885969949700,-7.36047931051800,-0.00877430087239
1980,8,30,44481,-391.88951446586100,-7.36651097162700,-0.00878019817485
1980,8,31,44482,-391.86374987084600,-7.38638951615300,-0.00879952208641
1980,9,1,44483,-391.81906852647500,-7.40914089549700,-0.00882193254365
1980,9,2,44484,-391.75832987784300,-7.42460999293600,-0.00883776106961
1980,9,3,44485,-391.68799685038400,-7.42587339671000,-0.00884031019430
1980,9,4,44486,-391.61595166673200,-7.41014663626500,-0.00882675728391
1980,9,5,44487,-391.54962018257600,-7.37852837796200,-0.00879797004200
1980,9,6,44488,-391.49468213989800,-7.33508816816800,-0.00875769058727
1980,9,7,44489,-391.45436538405300,-7.28568853101600,-0.00871144101226
1980,9,8,44490,-391.42924215060900,-7.23676825533100,-0.00866536163444
1980,9,9,44491,-391.41744805284200,-7.19423918677100,-0.00862513623904
1980,9,10,44492,-391.41522233999000,-7.16262729276300,-0.00859514489721
